The Sandman^^^Drama, Fantasy, Horror^^^2020
Batman^^^Action, Adventure, Comedy^^^1966
Vanilla Sky^^^Fantasy, Mystery, Romance^^^2001
Sunshine^^^Sci-Fi, Thriller^^^2007
The Fly^^^Drama, Horror, Sci-Fi^^^1986
Fantastic Four^^^Action, Adventure, Fantasy^^^2005
The Silence^^^Drama, Horror, Sci-Fi^^^2019
He-Man and the Masters of the Universe^^^Animation, Action, Adventure^^^1983
Luke Cage^^^Action, Crime, Drama^^^2016
Glitch^^^Drama, Sci-Fi^^^2015
The Adventures of Sharkboy and Lavagirl 3-D^^^Action, Adventure, Comedy^^^2005
Invasion^^^Action, Sci-Fi^^^2020
Songbird^^^Drama, Sci-Fi, Thriller^^^2020
10 Cloverfield Lane^^^Action, Drama, Horror^^^2016
R.I.P.D.^^^Action, Adventure, Comedy^^^2013
Green Lantern^^^Action, Adventure, Sci-Fi^^^2011
Agent Carter^^^Action, Adventure, Sci-Fi^^^2015
Bloodshot^^^Action, Drama, Sci-Fi^^^2020
Godzilla^^^Action, Adventure, Sci-Fi^^^2014
The Society^^^Drama, Mystery, Sci-Fi^^^2019
Superman^^^Action, Adventure, Drama^^^1978
District 9^^^Action, Sci-Fi, Thriller^^^2009
Rupture^^^Horror, Sci-Fi, Thriller^^^2016
John Carter^^^Action, Adventure, Sci-Fi^^^2012
Utopia^^^Action, Drama, Mystery^^^2020
Incredibles 2^^^Animation, Action, Adventure^^^2018
The Gifted^^^Action, Drama, Fantasy^^^2017
Jupiter Ascending^^^Action, Adventure, Sci-Fi^^^2015
Zoo^^^Drama, Mystery, Sci-Fi^^^2015
Terminator 3: Rise of the Machines^^^Action, Sci-Fi^^^2003
The Marvels^^^Action, Adventure, Fantasy^^^2022
The Stand^^^Adventure, Drama, Fantasy^^^1994
The Walking Dead: World Beyond^^^Drama, Horror, Sci-Fi^^^2020
The Faculty^^^Horror, Mystery, Sci-Fi^^^1998
Serenity^^^Action, Adventure, Sci-Fi^^^2005
Planet of the Apes^^^Action, Adventure, Sci-Fi^^^2001
Phineas and Ferb^^^Animation, Action, Comedy^^^2007
Spaceballs^^^Adventure, Comedy, Sci-Fi^^^1987
Bumblebee^^^Action, Adventure, Sci-Fi^^^2018
Pokémon Detective Pikachu^^^Action, Adventure, Comedy^^^2019
The Hunger Games: Mockingjay - Part 1^^^Action, Adventure, Sci-Fi^^^2014
Brave New World^^^Drama, Sci-Fi, Thriller^^^2020
Counterpart^^^Drama, Sci-Fi, Thriller^^^2017
Regular Show^^^Animation, Action, Adventure^^^2009
Ad Astra^^^Adventure, Drama, Mystery^^^2019
After the Dark^^^Drama, Fantasy, Sci-Fi^^^2013
Superhero Movie^^^Action, Comedy, Sci-Fi^^^2008
Ghostbusters^^^Action, Comedy, Fantasy^^^2016
Dragon Ball Z^^^Animation, Action, Adventure^^^1996
Atlantis: The Lost Empire^^^Animation, Action, Adventure^^^2001
Code Geass^^^Animation, Action, Drama^^^2006
Hot Tub Time Machine^^^Comedy, Sci-Fi^^^2010
Steven Universe^^^Animation, Action, Adventure^^^2013
Cocoon^^^Comedy, Drama, Sci-Fi^^^1985
Contact^^^Drama, Mystery, Sci-Fi^^^1997
Dirk Gently's Holistic Detective Agency^^^Action, Adventure, Comedy^^^2016
Fantastic Four^^^Action, Adventure, Sci-Fi^^^2015
Resident Evil: Infinite Darkness,^^^Animation, Action, Horror^^^2021
The Mist^^^Horror, Sci-Fi, Thriller^^^2007
Predators^^^Action, Adventure, Sci-Fi^^^2010
Battle Royale^^^Action, Adventure, Drama^^^2000
Ender's Game^^^Action, Adventure, Fantasy^^^2013
28 Weeks Later^^^Horror, Sci-Fi^^^2007
The Cell^^^Horror, Sci-Fi, Thriller^^^2000
Spies in Disguise^^^Animation, Action, Adventure^^^2019
Sorry to Bother You^^^Comedy, Fantasy, Sci-Fi^^^2018
The Purge: Anarchy^^^Action, Horror, Sci-Fi^^^2014
The Twilight Zone^^^Drama, Fantasy, Horror^^^2019
Tammy and the T-Rex^^^Comedy, Sci-Fi^^^1994
Beauty and the Beast^^^Drama, Horror, Romance^^^2012
Isle of Dogs^^^Animation, Adventure, Comedy^^^2018
Dark Matter^^^Adventure, Drama, Mystery^^^2015
Soylent Green^^^Crime, Mystery, Sci-Fi^^^1973
The Giver,^^^Drama, Romance, Sci-Fi^^^2014
Teenage Mutant Ninja Turtles: Out of the Shadows^^^Action, Adventure, Comedy^^^2016
Tales from the Loop^^^Drama, Sci-Fi^^^2020
Mass Effect 3^^^Action, Adventure, Sci-Fi^^^2012
The First Purge^^^Action, Horror, Sci-Fi^^^2018
Blast from the Past^^^Comedy, Drama, Romance^^^1999
Cars 2^^^Animation, Adventure, Comedy^^^2011
